Jurisdiction,Year,Industry,Unit,Quantity
AUS,2014,Agriculture,PJ,104.54
AUS,2014,Commercial and services,PJ,319.761
AUS,2014,Construction,PJ,36.596
AUS,2014,Electricity generation,PJ,1650.436
AUS,2014,Manufacturing,PJ,1126.112
AUS,2014,Mining,PJ,521.228
AUS,2014,Other,PJ,58.523
AUS,2014,Residential,PJ,443.752
AUS,2014,Total,PJ,5898.418
AUS,2014,Transport,PJ,1623.255
AUS,2014,Water and waste,PJ,14.214
AUS,2015,Agriculture,PJ,109.756
AUS,2015,Commercial and services,PJ,314.066
AUS,2015,Construction,PJ,39.305
AUS,2015,Electricity generation,PJ,1697.748
AUS,2015,Manufacturing,PJ,1122.94
AUS,2015,Mining,PJ,575.617
AUS,2015,Other,PJ,61.836
AUS,2015,Residential,PJ,444.272
AUS,2015,Total,PJ,6034.872
AUS,2015,Transport,PJ,1654.861
AUS,2015,Water and waste,PJ,14.471
AUS,2016,Agriculture,PJ,116.296
AUS,2016,Commercial and services,PJ,314.578
AUS,2016,Construction,PJ,39.885
AUS,2016,Electricity generation,PJ,1662.634
AUS,2016,Manufacturing,PJ,1092.644
AUS,2016,Mining,PJ,666.337
AUS,2016,Other,PJ,54.139
AUS,2016,Residential,PJ,453.634
AUS,2016,Total,PJ,6104.651
AUS,2016,Transport,PJ,1690.063
AUS,2016,Water and waste,PJ,14.441
AUS,2017,Agriculture,PJ,117.57
AUS,2017,Commercial and services,PJ,319.22
AUS,2017,Construction,PJ,43.419
AUS,2017,Electricity generation,PJ,1601.68
AUS,2017,Manufacturing,PJ,1101.804
AUS,2017,Mining,PJ,729.741
AUS,2017,Other,PJ,56.415
AUS,2017,Residential,PJ,449.002
AUS,2017,Total,PJ,6168.093
AUS,2017,Transport,PJ,1734.086
AUS,2017,Water and waste,PJ,15.155
AUS,2018,Agriculture,PJ,98.842
AUS,2018,Commercial and services,PJ,310.714
AUS,2018,Construction,PJ,42.834
AUS,2018,Electricity generation,PJ,1566.394
AUS,2018,Manufacturing,PJ,1080.952
AUS,2018,Mining,PJ,812.435
AUS,2018,Other,PJ,56.037
AUS,2018,Residential,PJ,457.002
AUS,2018,Total,PJ,6188.282
AUS,2018,Transport,PJ,1746.578
AUS,2018,Water and waste,PJ,16.493
AUS,2019,Agriculture,PJ,87.993
AUS,2019,Commercial and services,PJ,298.007
AUS,2019,Construction,PJ,40.433
AUS,2019,Electricity generation,PJ,1523.152
AUS,2019,Manufacturing,PJ,1054.984
AUS,2019,Mining,PJ,853.565
AUS,2019,Other,PJ,58.399
AUS,2019,Residential,PJ,474.474
AUS,2019,Total,PJ,6001.048
AUS,2019,Transport,PJ,1589.945
AUS,2019,Water and waste,PJ,20.096
AUS,2020,Agriculture,PJ,118.707
AUS,2020,Commercial and services,PJ,288.077
AUS,2020,Construction,PJ,38.793
AUS,2020,Electricity generation,PJ,1454.983
AUS,2020,Manufacturing,PJ,1042.927
AUS,2020,Mining,PJ,850.351
AUS,2020,Other,PJ,54.051
AUS,2020,Residential,PJ,484.126
AUS,2020,Total,PJ,5769.218
AUS,2020,Transport,PJ,1418.279
AUS,2020,Water and waste,PJ,18.925
AUS,2021,Agriculture,PJ,114.588
AUS,2021,Commercial and services,PJ,296.092
AUS,2021,Construction,PJ,37.212
AUS,2021,Electricity generation,PJ,1405.902
AUS,2021,Manufacturing,PJ,1028.856
AUS,2021,Mining,PJ,865.893
AUS,2021,Other,PJ,53.586
AUS,2021,Residential,PJ,497.336
AUS,2021,Total,PJ,5765.137
AUS,2021,Transport,PJ,1447.826
AUS,2021,Water and waste,PJ,17.845
AUS,2022,Agriculture,PJ,105.859
AUS,2022,Commercial and services,PJ,308.112
AUS,2022,Construction,PJ,36.64
AUS,2022,Electricity generation,PJ,1378.274
AUS,2022,Manufacturing,PJ,996.298
AUS,2022,Mining,PJ,883.072
AUS,2022,Other,PJ,50.975
AUS,2022,Residential,PJ,484.169
AUS,2022,Total,PJ,5882.206
AUS,2022,Transport,PJ,1622.125
AUS,2022,Water and waste,PJ,16.682
NSW,1973,Agriculture,PJ,9.8
NSW,1973,Commercial and services,PJ,29.3
NSW,1973,Construction,PJ,6.2
NSW,1973,Electricity generation,PJ,159.5
NSW,1973,Manufacturing,PJ,401.2
NSW,1973,Mining,PJ,5.5
NSW,1973,Other,PJ,19.3
NSW,1973,Residential,PJ,70.1
NSW,1973,Total,PJ,943
NSW,1973,Transport,PJ,239.7
NSW,1973,Water and waste,PJ,2.4
NSW,1974,Agriculture,PJ,9.3
NSW,1974,Commercial and services,PJ,29.5
NSW,1974,Construction,PJ,7.3
NSW,1974,Electricity generation,PJ,166
NSW,1974,Manufacturing,PJ,403.9
NSW,1974,Mining,PJ,6.2
