LGA_CODE_2016,LGA_NAME_2016,EnergyType,Capacity
14400,Kiama (A),Residential Capacity (MW),23433
43220,Kimba (DC),Residential Capacity (MW),26660
63410,King Island (M),Residential Capacity (MW),17638
63610,Kingborough (M),Residential Capacity (MW),27841
23430,Kingston (C) (Vic.),Residential Capacity (MW),20522
43360,Kingston (DC) (SA),Residential Capacity (MW),22384
23670,Knox (C),Residential Capacity (MW),14470
54550,Kojonup (S),Residential Capacity (MW),51289
54620,Kondinin (S),Residential Capacity (MW),29920
54690,Koorda (S),Residential Capacity (MW),12893
34420,Kowanyama (S),Residential Capacity (MW),4794
54760,Kulin (S),Residential Capacity (MW),29678
14500,Ku-ring-gai (A),Residential Capacity (MW),30769
54830,Kwinana (C),Residential Capacity (MW),40415
14550,Kyogle (A),Residential Capacity (MW),81588
14600,Lachlan (A),Residential Capacity (MW),96846
54900,Lake Grace (S),Residential Capacity (MW),49515
14650,Lake Macquarie (C),Residential Capacity (MW),62215
14700,Lane Cove (A),Residential Capacity (MW),2485
23810,Latrobe (C) (Vic.),Residential Capacity (MW),100662
63810,Latrobe (M) (Tas.),Residential Capacity (MW),36168
64010,Launceston (C),Residential Capacity (MW),55806
54970,Laverton (S),Residential Capacity (MW),19679
14750,Leeton (A),Residential Capacity (MW),60703
55040,Leonora (S),Residential Capacity (MW),1320
43650,Light (RegC),Residential Capacity (MW),78907
14850,Lismore (C),Residential Capacity (MW),153687
72300,Litchfield (M),Residential Capacity (MW),28084
14870,Lithgow (C),Residential Capacity (MW),55233
14900,Liverpool (C),Residential Capacity (MW),143220
14920,Liverpool Plains (A),Residential Capacity (MW),96061
34530,Livingstone (S),Residential Capacity (MW),82632
14950,Lockhart (A),Residential Capacity (MW),45901
34570,Lockhart River (S),Residential Capacity (MW),2253
34580,Lockyer Valley (R),Residential Capacity (MW),240863
23940,Loddon (S),Residential Capacity (MW),121106
34590,Logan (C),Residential Capacity (MW),89343
34710,Longreach (R),Residential Capacity (MW),35199
43710,Lower Eyre Peninsula (DC),Residential Capacity (MW),61831
43790,Loxton Waikerie (DC),Residential Capacity (MW),141174
72330,MacDonnell (R),Residential Capacity (MW),59
24130,Macedon Ranges (S),Residential Capacity (MW),156823
34770,Mackay (R),Residential Capacity (MW),267834
15050,Maitland (C),Residential Capacity (MW),145293
43920,Mallala (DC),Residential Capacity (MW),126237
55110,Mandurah (C),Residential Capacity (MW),3933
55180,Manjimup (S),Residential Capacity (MW),81251
24210,Manningham (C),Residential Capacity (MW),28978
24250,Mansfield (S),Residential Capacity (MW),62049
34830,Mapoon (S),Residential Capacity (MW),459
44000,Maralinga Tjarutja (AC),Residential Capacity (MW),273
34860,Maranoa (R),Residential Capacity (MW),123412
