LGA_CODE_2016,LGA_NAME_2016,Residential Capacity (MW),Rural / Primacy Production Capacity (MW),Industrial Capacity (MW),Commercial Capacity (MW),Mixed Capacity (MW),,,,,
53290,Esperance (S),104605,8422,3892,8381,3789,,,,,
33100,Etheridge (S),4162,11,73,246,26,,,,,
12750,Eurobodalla (A),79876,0,5301,1138,9997,,,,,
53360,Exmouth (S),1501,4777,2030,6035,602,,,,,
12850,Fairfield (C),48692,0,21755,4827,10772,,,,,
12870,Federation (A),94831,0,0,1,24,,,,,
62010,Flinders (M) (Tas.),0,0,0,0,0,,,,,
33200,Flinders (S) (Qld),22839,0,656,3009,146,,,,,
41830,Flinders Ranges (DC),13636,0,186,2443,0,,,,,
12900,Forbes (A),87414,3,31,1584,1436,,,,,
41960,Franklin Harbour (DC),14717,0,238,0,761,,,,,
22170,Frankston (C),29567,30085,223,28495,4801,,,,,
33220,Fraser Coast (R),115664,10225,6662,36380,6304,,,,,
53430,Fremantle (C),0,13608,15333,3637,1149,,,,,
22250,Gannawarra (S),110787,439,0,280,808,,,,,
42030,Gawler (T),25777,0,1149,3736,1460,,,,,
62210,George Town (M),20178,0,4268,24,40,,,,,
12930,Georges River (A),34403,0,10922,18989,3502,,,,,
12950,Gilgandra (A),48250,0,10,21,645,,,,,
53570,Gingin (S),96409,603,0,1284,3181,,,,,
33360,Gladstone (R),142863,15922,35821,20840,7653,,,,,
62410,Glamorgan/Spring Bay (M),20495,3550,635,1876,732,,,,,
13010,Glen Innes Severn (A),71146,0,571,13,1792,,,,,
22410,Glenelg (S),124283,461,0,5640,2424,,,,,
62610,Glenorchy (C),7380,1791,811,17035,2109,,,,,
53640,Gnowangerup (S),32500,1893,0,1123,793,,,,,
33430,Gold Coast (C),164459,206629,122804,99190,38035,,,,,
22490,Golden Plains (S),143723,2487,378,1564,628,,,,,
53710,Goomalling (S),10791,152,865,1464,296,,,,,
33610,Goondiwindi (R),100332,2,23980,39,2440,,,,,
53780,Gosnells (C),39669,14171,1,8150,2069,,,,,
13310,Goulburn Mulwaree (A),121969,0,11829,8085,2968,,,,,
42110,Goyder (DC),95139,0,10635,0,1786,,,,,
42250,Grant (DC),76656,0,10829,63,1556,,,,,
22620,Greater Bendigo (C),190260,8040,4028,27041,8449,,,,,
22670,Greater Dandenong (C),22811,29875,6705,24742,5216,,,,,
22750,Greater Geelong (C),141160,105714,9477,16503,13676,,,,,
53800,Greater Geraldton (C),96496,15513,8057,21828,4493,,,,,
13340,Greater Hume Shire (A),136788,0,244,85,61,,,,,
22830,Greater Shepparton (C),254460,37968,111,15405,3113,,,,,
13450,Griffith (C),141007,0,8062,515,2699,,,,,
13510,Gundagai (A),86195,0,955,24,1560,,,,,
13550,Gunnedah (A),90032,0,4674,161,2472,,,,,
13660,Gwydir (A),74699,0,14,9,821,,,,,
33620,Gympie (R),213303,89,3664,33205,689,,,,,
53920,Halls Creek (S),1512,17,1048,2279,526,,,,,
53990,Harvey (S),75550,2988,0,3183,3753,,,,,
13800,Hawkesbury (C),359021,0,42,17337,6102,,,,,
13850,Hay (A),38544,0,0,0,618,,,,,
22910,Hepburn (S),94918,987,35,2476,915,,,,,
13910,Hilltops (A),190259,0,18,9,344,,,,,
33800,Hinchinbrook (S),73744,0,11284,6440,1235,,,,,
22980,Hindmarsh (S),96978,1,0,122,176,,,,,
62810,Hobart (C),637,10676,17577,1386,4268,,,,,
23110,Hobsons Bay (C),0,116362,1671,13593,5090,,,,,
42600,Holdfast Bay (C),0,0,0,2286,468,,,,,
33830,Hope Vale (S),2325,0,599,786,55,,,,,
14000,Hornsby (A),94390,0,4730,8411,5702,,,,,
23190,Horsham (RC),117565,1414,270,9837,1621,,,,,
23270,Hume (C),57441,431352,4099,21333,4041,,,,,
63010,Huon Valley (M),90000,1965,6064,4776,1283,,,,,
23350,Indigo (S),91414,6782,233,2494,879,,,,,
14170,Inner West (A),0,0,12680,36292,6276,,,,,
14200,Inverell (A),97049,0,451,396,2412,,,,,
33960,Ipswich (C),105257,75020,49222,1597,35055,,,,,
54060,Irwin (S),18069,2806,0,1441,1257,,,,,
33980,Isaac (R),146189,277,88730,2591,16610,,,,,
54130,Jerramungup (S),33563,2091,0,1324,742,,,,,
54170,Joondalup (C),418,62987,2012,14804,1928,,,,,
14300,Junee (A),22911,0,111,370,638,,,,,
54200,Kalamunda (S),56627,71580,2290,7422,778,,,,,
54280,Kalgoorlie/Boulder (C),8773,669,3168,12001,2861,,,,,
42750,Kangaroo Island (DC),42373,0,7585,0,359,,,,,
43080,Karoonda East Murray (DC),29295,0,1525,326,5,,,,,
54310,Karratha (C),23321,61833,0,10340,2288,,,,,
54340,Katanning (S),26484,2909,0,4175,1063,,,,,
72200,Katherine (T),15000,789,0,8148,1609,,,,,
54410,Kellerberrin (S),17116,288,402,1955,523,,,,,
14350,Kempsey (A),118148,0,0,1075,2961,,,,,
54480,Kent (S),0,67,0,185,364,,,,,
63210,Kentish (M),42514,0,505,1040,538,,,,,
14400,Kiama (A),23433,0,6,1174,2714,,,,,
43220,Kimba (DC),26660,0,93,0,1008,,,,,
63410,King Island (M),17638,0,2191,1233,575,,,,,
63610,Kingborough (M),27841,49,1112,8084,1660,,,,,
23430,Kingston (C) (Vic.),20522,46283,7117,20390,5808,,,,,
43360,Kingston (DC) (SA),22384,0,1141,981,381,,,,,
23670,Knox (C),14470,10568,2940,22186,6341,,,,,
54550,Kojonup (S),51289,129,0,1947,537,,,,,
54620,Kondinin (S),29920,67,531,875,713,,,,,
54690,Koorda (S),12893,0,0,440,294,,,,,
34420,Kowanyama (S),4794,13,84,284,30,,,,,
54760,Kulin (S),29678,796,0,999,863,,,,,
14500,Ku-ring-gai (A),30769,0,1767,19886,2970,,,,,
54830,Kwinana (C),40415,39178,0,2732,580,,,,,
14550,Kyogle (A),81588,0,1048,208,914,,,,,
14600,Lachlan (A),96846,0,0,12,42,,,,,
54900,Lake Grace (S),49515,659,0,1313,730,,,,,
14650,Lake Macquarie (C),62215,0,23548,15748,28649,,,,,
14700,Lane Cove (A),2485,0,2144,4343,760,,,,,
23810,Latrobe (C) (Vic.),100662,7402,9618,17651,5989,,,,,
63810,Latrobe (M) (Tas.),36168,0,617,364,201,,,,,
64010,Launceston (C),55806,13803,17892,23413,4872,,,,,
54970,Laverton (S),19679,724,1962,1139,177,,,,,
14750,Leeton (A),60703,0,0,139,2075,,,,,
55040,Leonora (S),1320,58,125,887,307,,,,,
43650,Light (RegC),78907,0,6384,101,1397,,,,,
14850,Lismore (C),153687,0,1350,13791,3755,,,,,
72300,Litchfield (M),28084,2240,0,10520,693,,,,,
14870,Lithgow (C),55233,0,5680,577,1416,,,,,
14900,Liverpool (C),143220,1137,8123,12736,12879,,,,,
14920,Liverpool Plains (A),96061,0,33,0,120,,,,,
34530,Livingstone (S),82632,15580,5505,2245,1184,,,,,
14950,Lockhart (A),45901,0,0,0,127,,,,,
34570,Lockhart River (S),2253,6,39,133,14,,,,,
34580,Lockyer Valley (R),240863,2897,3470,25846,9940,,,,,
23940,Loddon (S),121106,80,65,214,438,,,,,
34590,Logan (C),89343,1902,241605,79847,8735,,,,,
34710,Longreach (R),35199,0,32202,0,1521,,,,,
43710,Lower Eyre Peninsula (DC),61831,0,14420,90,108,,,,,
43790,Loxton Waikerie (DC),141174,0,8790,43,1543,,,,,
72330,MacDonnell (R),59,0,223,0,0,,,,,
24130,Macedon Ranges (S),156823,2234,0,1458,755,,,,,
34770,Mackay (R),267834,25289,93490,47757,16850,,,,,
15050,Maitland (C),145293,0,16352,3052,6170,,,,,
43920,Mallala (DC),126237,0,11822,265,487,,,,,
55110,Mandurah (C),3933,308080,0,7876,2703,,,,,
55180,Manjimup (S),81251,9147,0,8884,3001,,,,,
24210,Manningham (C),28978,19199,1067,13750,3309,,,,,
24250,Mansfield (S),62049,5715,212,107,2079,,,,,
34830,Mapoon (S),459,0,0,204,226,,,,,
44000,Maralinga Tjarutja (AC),273,0,40,0,42,,,,,
34860,Maranoa (R),123412,6265,7763,110,3480,,,,,
34880,Mareeba (S),127465,3238,10203,10914,2724,,,,,
24330,Maribyrnong (C),0,42427,15172,11179,3740,,,,,
44060,Marion (C),504,0,0,7027,4473,,,,,
24410,Maroondah (C),10273,272,796,17047,4343,,,,,
34800,McKinlay (S),28286,0,634,1462,177,,,,,
64210,Meander Valley (M),84893,532,16431,5822,2411,,,,,
55250,Meekatharra (S),0,0,0,0,0,,,,,
24600,Melbourne (C),0,174268,51935,50131,17449,,,,,
24650,Melton (C),39850,43977,531,3586,882,,,,,
55320,Melville (C),0,7479,6049,7854,3126,,,,,
55390,Menzies (S),7404,341,0,611,883,,,,,
55460,Merredin (S),27593,836,0,2846,1066,,,,,
44210,Mid Murray (DC),131536,0,20667,1060,235,,,,,
15240,Mid-Coast (A),320003,0,4630,7211,14647,,,,,
15270,Mid-Western Regional (A),143182,0,135,175,2368,,,,,
24780,Mildura (RC),239604,11724,5320,15841,5176,,,,,
55530,Mingenew (S),13231,30,65,591,280,,,,,
44340,Mitcham (C),444,0,3864,19605,0,,,,,
24850,Mitchell (S),123900,24103,138,4334,1522,,,,,
24900,Moira (S),199703,10,2868,2586,2559,,,,,
24970,Monash (C),0,135765,1772,45309,5350,,,,,
25060,Moonee Valley (C),358,48700,6643,12516,5154,,,,,
55600,Moora (S),39899,15,1892,3032,631,,,,,
25150,Moorabool (S),116416,2387,959,651,779,,,,,
55670,Morawa (S),20682,446,3,1585,299,,,,,
15300,Moree Plains (A),131468,0,19,691,1973,,,,,
25250,Moreland (C),0,15935,15273,14935,4967,,,,,
35010,Moreton Bay (R),249520,884,76700,30011,21993,,,,,
